id,age,gender,monthly_income,tertiary_student,instituition,region,location,type_of_student,type_of_employment,frequently_used_mot,frequency_mot,preferred_mot,reason_least_preferred_mot,circ_least_preferred_mot,factors_mot_ranking,overall_avg_spending,research,comfortable,explore,frequently_used_mot_cnt,most_preferred_mot,least_preferred_mot,most_impt_factor,least_impt_factor,frequency_bus,waiting_time_bus,reason_bus,affordable_bus,accesible_bus,safe_bus,prevent_bus,chartered_bus,occasion_chartered_bus,price_chartered_bus,frequency_mrt,spend_mrt,reason_mrt,mrt_lines,affordable_mrt,accessible_mrt,waiting_mrt,safe_mrt,prevent_mrt,mrt_lines_cnt,frequency_taxi,waiting_time_taxi,way_hail,reason_taxi,preference_rank_taxi,affordable_taxi,accessible_taxi,safe_taxi,customer_service_taxi,difficulties_taxi,prevent_taxi,most_preferred_taxi,least_preferred_taxi,frequency_ride_hailing,reason_ride_hailing,ride_hailing_type,preference_rank_ride_hailing,reason_ride_hailing_company,affordable_ride_hailing,safe_ride_hailing,customer_service_ride_hailing,difficulties_ride_hailing,prevent_ride_hailing,used_ride_hailing_svc_cnt,most_preferred_ride_hailing,least_preferred_ride_hailing,own_driving_license,rent_before,preference_rank_rental_car,reason_rental_car_company,frequency_rental,duration_rental,reason_rental_car,difficulties_rental_car,difficulties_reason_rental_car,convenient_rental_car,convenient_reason_rental_car,affordable_rental_car,reasonable_rental_car,type_rental_car,perception_rental_car,max_price_rental_car,biz_model_rental,biz_model_reason_rental,biz_model_important_rental,prevent_rental,type_rental_car_heard_cnt,aware_cdg,used_cdg,accessibility_cdg,cs_cdg,cost_cdg,comfort_cdg,reliability_cdg,info_cdg,overall_rating_cdg,perception_cdg,improvement_cdg,incentives_cdg,aware_cdg_cnt,used_cdg_cnt
20,18 - 21,Female,Below $500,Yes,NUS,West,Clementi,Full-time Student,Employed Part-time,"['Bus', 'MRT', 'Ride-hailing services']",3 - 4 days a week,"['Ride-hailing services', 'MRT', 'Bus\xa0', 'Taxi', 'Others: Cycle, Walk, Drive', 'Car rentals']",,,"['Safety', 'Reliability', 'Physical Accessibility', 'Travel Time', 'Comfort', 'Waiting Time', 'Price', 'Service Information', 'Customer Service']",$50-$100,9,9,7,3,Ride-hailing services,Car rentals,Safety,Customer Service,2-4 times a week,10-20 minutes,['When travelling to the nearby MRT Stations'],Strongly Agree,Strongly Agree,Strongly Agree,"['Long travel time', 'Long waiting time', 'Bulky items']",No,,,3-4 days per week,30-45 mins,"[""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['Circle Line (Orange/Yellow Line)', 'East-West Line (Green Line)']",Agree,Agree,Agree,Agree,"['Bulky items', 'Too crowded']",2,Never,5-10 mins,['Flag down'],['When there is a promotion'],"['ComfortDelgro', 'Premier Taxi', 'Trans-Cab', 'CityCab', 'SMRT Taxi', 'Prime Taxi', 'Yellow-Top Taxi']",Neutral,Neutral,Neutral,Neutral,No,['Private hire is cheaper'],ComfortDelgro,Yellow-Top Taxi,Once a week,"['When it is more accessible', 'When it is more convenient', 'When there is a promotion']","['Grab', 'Gojek']","['Grab', 'Gojek', 'Comfort DelGro', 'Ryde', 'Tada Mobility', 'Others']",[''],Agree,Agree,Agree,,"['Long wait time', 'Too costly']",2,Grab,Others,No,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'Grabcar Rental']",,-,['Free-floating'],['Convenience'],5,"['Inconvenient Pickup Locations', 'Safety of Car Maintenance', 'Insurance Coverage', 'Type of rental car provided']",2,[''],[''],,,,,,,,,,[''],1,1
21,18 - 21,Male,"$501 - $1,000",Yes,NTU,North-East,Hougang,Full-time Student,,['MRT'],Daily,"['MRT', 'Bus\xa0', 'Others: Cycle, Walk, Drive', 'Taxi', 'Car rentals', 'Ride-hailing services']",Money ,Late,"['Price', 'Travel Time', 'Waiting Time', 'Physical Accessibility', 'Reliability', 'Customer Service', 'Service Information', 'Comfort', 'Safety']",$50-$100,10,10,10,1,MRT,Ride-hailing services,Price,Safety,Daily,Less than 10 minutes,"['When travelling to the nearby MRT Stations', 'Directly to work/school']",Strongly Agree,Strongly Agree,Neutral,['Bulky items'],No,Nil,< $100,Daily,More than an hour,['To get to the relevant bus stop'],"['Downtown Line (Blue Line)', 'Circle Line (Orange/Yellow Line)', 'North-East Line (Purple Line)']","Strongly Agree
","Strongly Agree
","Strongly Agree
",Neutral,['Bulky items'],3,Never,Immediate,['Online/In-app'],['When it is more accessible'],"['ComfortDelgro', 'CityCab', 'Trans-Cab', 'Yellow-Top Taxi', 'Premier Taxi', 'SMRT Taxi', 'Prime Taxi']",Neutral,Neutral,Neutral,Neutral,Nil,['Too costly'],ComfortDelgro,Prime Taxi,None,['When there is a promotion'],"['Grab', 'Gojek', 'ComfortDelGro']","['Gojek', 'Grab', 'Comfort DelGro', 'Tada Mobility', 'Ryde', 'Others']",['Ni'],Neutral,Neutral,Neutral,Nil,['Too costly'],3,Gojek,Others,Yes,Yes,"['Tribecar', 'BlueSG', 'GetGo', 'LionCity Rental', 'Grabcar Rental', 'Lumens Auto', ' No preference']",['Cheap'],Once a year,< 1 hour,['Too costly to own a car'],No,,Yes,,Neutral,Neutral,[''],,,['Station-based'],['Cost'],10,"['Age Restrictions', 'Safety of Car Maintenance', 'Costly']",1,['Taxi'],['Taxi'],Very satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Nil,Nil,['Competitive prices'],1,1
22,22 - 25,Female,"$501 - $1,000",Yes,SMU,Central,Bishan,Full-time Student,Employed Part-time,"['MRT', 'Bus']",5 - 6 days a week,"['MRT', 'Bus\xa0', 'Others: Cycle, Walk, Drive', 'Ride-hailing services', 'Taxi', 'Car rentals']",I do not have my license for car rentals. I do not like taxis because I wouldn't know how much they cost until I reach my destination.,When I get my license. If I am able to know the full cost before flagging down a taxi.,"['Safety', 'Physical Accessibility', 'Price', 'Waiting Time', 'Travel Time', 'Reliability', 'Comfort', 'Customer Service', 'Service Information']",$50-$100,9,6,2,2,MRT,Car rentals,Safety,Service Information,2-4 times a week,10-20 minutes,"['Directly to work/school', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)', 'To destinations not easily accessible by MRT']",Neutral,Strongly Agree,Neutral,"['Long waiting time', 'Long travel time', 'Too crowded']",No,,< $100,5-6 days per week,30-45 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['Downtown Line (Blue Line)', 'Circle Line (Orange/Yellow Line)', 'North-South Line (Red Line)']",Agree,Agree,"Strongly Agree
",Agree,['Bulky items'],3,Never,5-10 mins,['Online/In-app'],"['When it is more accessible', 'When it is more convenient', 'When it is urgent']","['ComfortDelgro', 'Premier Taxi', 'Trans-Cab', 'CityCab', 'SMRT Taxi', 'Prime Taxi', 'Yellow-Top Taxi']",Strongly Disagree,Neutral,Neutral,Neutral,No,"['Long waiting time', 'Not convenient', 'Too costly', 'Private hire is cheaper', 'Poor customer service']",ComfortDelgro,Yellow-Top Taxi,None,"['When it is more accessible', 'When it is more convenient', 'When there is a promotion', 'When it is urgent']","['Grab', 'Gojek', 'ComfortDelGro']","['Comfort DelGro', 'Gojek', 'Grab', 'Ryde', 'Tada Mobility', 'Others']",[''],Neutral,Neutral,Agree,,"['Too costly', 'Long wait time', 'Poor driving', 'Poor customer service']",3,Comfort DelGro,Others,Yes,No,[''],[''],,,[''],,,,,,,['BlueSG'],,< $3,['Free-floating'],['Convenience'],2,"['Inconvenient Pickup Locations', 'Costly', 'Insurance Coverage']",1,"['Taxi', 'Chartered Bus']",['Taxi'],Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,,,"['Competitive prices', 'Promotion codes', 'Giveaways and contests']",2,1
23,26 - 29,Male,Prefer not to say,Yes,NTU,West,Jurong East,Full-time Student,,"['Bus', 'MRT', 'Ride-hailing services', 'Taxi']",Daily,"['MRT', 'Bus\xa0', 'Ride-hailing services', 'Taxi', 'Car rentals', 'Others: Cycle, Walk, Drive']",Time consuming and tiring,Cheap and effective,"['Price', 'Travel Time', 'Physical Accessibility', 'Reliability', 'Customer Service', 'Comfort', 'Service Information', 'Safety', 'Waiting Time']",$50-$100,6,6,6,4,MRT,"Others: Cycle, Walk, Drive",Price,Waiting Time,Daily,20-30 minutes,"['Directly to work/school', 'When travelling to the nearby MRT Stations']",Strongly Agree,Strongly Agree,Agree,"['Too crowded', 'Long travel time', 'Long waiting time']",No,,< $100,Daily,15-30 mins,['To get to work/school'],"['Downtown Line (Blue Line)', 'Circle Line (Orange/Yellow Line)', 'East-West Line (Green Line)', 'North-South Line (Red Line)']","Strongly Agree
",Agree,Agree,Neutral,"['Long wait time', 'Long travel time']",4,Once a week,More than 10 mins,"['Flag down', 'Online/In-app']","['When it is more convenient', 'When it is easy to book']","['ComfortDelgro', 'Trans-Cab', 'CityCab', 'SMRT Taxi', 'Premier Taxi', 'Yellow-Top Taxi', 'Prime Taxi']",Neutral,Neutral,Neutral,Neutral,No taxi available around,"['Long waiting time', 'Too costly', 'Poor customer service']",ComfortDelgro,Prime Taxi,Once a week,['When it is more convenient'],"['Grab', 'Gojek', 'ComfortDelGro']","['Grab', 'Gojek', 'Comfort DelGro', 'Ryde', 'Tada Mobility', 'Others']",['Easy and good'],Disagree,Neutral,Disagree,High surcharge,['Too costly'],3,Grab,Others,Yes,Yes,"['BlueSG', 'GetGo', 'Tribecar', 'LionCity Rental', 'Lumens Auto', 'Grabcar Rental', ' No preference']",['Reasonable and Fair Policies'],Once a month,1 day,['Occasions'],No,,Yes,,Neutral,Neutral,[''],,,['Free-floating'],['Convenience'],6,['Costly'],1,['Taxi'],['Taxi'],Somewhat satisfied,Somewhat satisfied,Neutral,Somewhat satisfied,Very satisfied,Neutral,Somewhat satisfied,Established brand ,Better app,"['Competitive prices', 'Promotion codes', 'Giveaways and contests', 'More locations to rent from']",1,1
24,22 - 25,Female,"$501 - $1,000",Yes,NTU,East,SimeiPrefer not to say,Full-time Student,,"['Bus', 'MRT', 'Ride-hailing services']",3 - 4 days a week,"['Bus\xa0', 'MRT', 'Ride-hailing services', 'Others: Cycle, Walk, Drive', 'Taxi', 'Car rentals']",I cant rent a car because I havent passed 1 year of getting my license. Taxis are hard to hail down,When I pass 1 year of getting my license. If I see a taxi stand or the surge for ride-hailing services are very high ,"['Price', 'Travel Time', 'Physical Accessibility', 'Reliability', 'Safety', 'Comfort', 'Waiting Time', 'Customer Service', 'Service Information']",Less than $50,8,5,6,3,Bus ,Car rentals,Price,Service Information,2-4 times a week,10-20 minutes,"['When travelling to the nearby MRT Stations', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Neutral,Strongly Agree,Agree,['when I have enough money to do otherwise'],No,,I don't know,3-4 days per week,45-60 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['Downtown Line (Blue Line)', 'Circle Line (Orange/Yellow Line)', 'East-West Line (Green Line)']",Neutral,Agree,Agree,Agree,['When I have enough money to not '],3,Never,5-10 mins,['Flag down'],"['When it is more accessible', 'When it is more convenient']","['ComfortDelgro', 'CityCab', 'SMRT Taxi', 'Premier Taxi', 'Trans-Cab', 'Prime Taxi', 'Yellow-Top Taxi']",Disagree,Neutral,Agree,Neutral,NIL,"['Not convenient', 'Too costly', 'Private hire is cheaper']",ComfortDelgro,Yellow-Top Taxi,None,"['When it is more accessible', 'When I need the comfort of privacy', 'When it is more convenient', 'When there is a promotion', 'When it is easy to book']","['Grab', 'Gojek']","['Grab', 'Gojek', 'Comfort DelGro', 'Ryde', 'Tada Mobility', 'Others']",['Easy and convenien'],Agree,Agree,Neutral,,"['Long wait time', 'Too costly', 'Poor customer service', 'Poor driving']",2,Grab,Others,Yes,No,[''],[''],,,[''],,,,,,,['BlueSG'],Car is usually dirty cause other users do not take care of it,$5.01 - $7,['Free-floating'],"['Cost', 'Reliability', 'Convenience']",9,"['Inconvenient Pickup Locations', 'Costly', 'Age Restrictions', 'Safety of Car Maintenance', 'Insurance Coverage', 'Type of rental car provided']",1,['Taxi'],['Taxi'],Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Neutral,Somewhat satisfied,Safe way to travel because it's been a round for a long time ,,"['More locations to rent from', 'Competitive prices', 'Promotion codes']",1,1
25,18 - 21,Female,"$1,001 - $2,000
",Yes,NTU,West,Jurong West,Full-time Student,,"['Bus', 'MRT']",3 - 4 days a week,"['Ride-hailing services', 'Taxi', 'MRT', 'Bus\xa0', 'Car rentals', 'Others: Cycle, Walk, Drive']",Can’t drive. Lazy to walk,When my top choices become too expensive ,"['Price', 'Travel Time', 'Physical Accessibility', 'Waiting Time', 'Reliability', 'Customer Service', 'Service Information', 'Comfort', 'Safety']",More than $150,8,8,1,2,Ride-hailing services,"Others: Cycle, Walk, Drive",Price,Safety,2-4 times a week,10-20 minutes,"['Directly to work/school', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Agree,Agree,Strongly Agree,"['Long waiting time', 'Bulky items', 'Too crowded']",No,,< $100,One day per week,0-15 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]",['East-West Line (Green Line)'],Agree,"Strongly Agree
","Strongly Agree
","Strongly Agree
",['Bulky items'],1,Never,Less than 5 mins,"['Flag down', 'Online/In-app']","['When it is more accessible', 'When it is more convenient', 'When there is a promotion']","['Trans-Cab', 'ComfortDelgro', 'Premier Taxi', 'CityCab', 'SMRT Taxi', 'Prime Taxi', 'Yellow-Top Taxi']",Neutral,Strongly Agree,Strongly Agree,Agree,Mrt breakdown ,['Too costly'],Trans-Cab,Yellow-Top Taxi,Once a week,"['When I need the comfort of privacy', 'When it is more accessible', 'When it is more convenient', 'When it is easy to book', 'When there is a promotion']","['Grab', 'Gojek']","['Grab', 'Gojek', 'Comfort DelGro', 'Ryde', 'Tada Mobility', 'Others']",['Promo codes'],Disagree,Agree,Agree,,['Too costly'],2,Grab,Others,No,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'Tribecar']",,$3.01 - $5,['Free-floating'],"['Convenience', 'Cost']",8,"['Inconvenient Pickup Locations', 'Costly']",2,['Taxi'],['Taxi'],Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,,"['More locations to rent from', 'Competitive prices']",1,1
27,22 - 25,Female,Below $500,Yes,SIM,West,Jurong West,Full-time Student,Employed Part-time,"['Bus', 'MRT']",3 - 4 days a week,"['Bus\xa0', 'MRT', 'Others: Cycle, Walk, Drive', 'Taxi', 'Ride-hailing services', 'Car rentals']",It is very expensive ,If I am late to a venue,"['Price', 'Travel Time', 'Physical Accessibility', 'Waiting Time', 'Reliability', 'Safety', 'Service Information', 'Customer Service', 'Comfort']",Less than $50,10,9,9,2,Bus ,Car rentals,Price,Comfort,2-4 times a week,10-20 minutes,['Directly to work/school'],Disagree,Strongly Agree,Agree,"['Too crowded', 'Long waiting time']",No,,I don't know,3-4 days per week,15-30 mins,['To get to work/school'],['East-West Line (Green Line)'],Neutral,"Strongly Agree
",Agree,Agree,['Long wait time'],1,Never,5-10 mins,"['Online/In-app', 'Flag down']",['When there is a promotion'],"['ComfortDelgro', 'CityCab', 'Trans-Cab', 'SMRT Taxi', 'Premier Taxi', 'Prime Taxi', 'Yellow-Top Taxi']",Strongly Disagree,Neutral,Neutral,Agree,Nil,"['Too costly', 'Not convenient']",ComfortDelgro,Yellow-Top Taxi,None,['When there is a promotion'],"['Grab', 'Gojek', 'ComfortDelGro']","['Gojek', 'Ryde', 'Comfort DelGro', 'Grab', 'Tada Mobility', 'Others']",['They are relatively cheaper and have more promotions'],Agree,Agree,Neutral,,['Long wait time'],3,Gojek,Others,No,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'GetGO', 'Tribecar', 'Grabcar Rental']",Some are good while some have been rumoured to have issues with customer service and manipulation of customers,$5.01 - $7,['Free-floating'],['Convenience'],8,"['Inconvenient Pickup Locations', 'Safety of Car Maintenance', 'Costly', 'Insurance Coverage']",4,['Taxi'],['Taxi'],Somewhat satisfied,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Reliable whenever needed,More promotions,"['Promotion codes', 'More locations to rent from']",1,1
30,18 - 21,Female,Below $500,Yes,SMU,East,Tanah MerahNILNILNILNIL,Full-time Student,,"['Bus', 'MRT']",Daily,"['MRT', 'Bus\xa0', 'Taxi', 'Ride-hailing services', 'Car rentals', 'Others: Cycle, Walk, Drive']","Walking is not possible for far distances, Driving and Car rentals (I dont have my license yet)",Walking distances,"['Physical Accessibility', 'Waiting Time', 'Travel Time', 'Price', 'Reliability', 'Customer Service', 'Service Information', 'Comfort', 'Safety']",$50-$100,7,8,5,2,MRT,"Others: Cycle, Walk, Drive",Physical Accessibility,Safety,None,10-20 minutes,"['Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Agree,Agree,Agree,"['Long waiting time', 'Too crowded']",No,,I don't know,Daily,45-60 mins,['To get to work/school'],"['East-West Line (Green Line)', 'Circle Line (Orange/Yellow Line)', 'Downtown Line (Blue Line)']",Agree,Agree,Agree,Agree,['Bulky items'],3,Never,5-10 mins,['Online/In-app'],"['When it is more accessible', 'When it is more convenient']","['ComfortDelgro', 'Premier Taxi', 'Trans-Cab', 'CityCab', 'SMRT Taxi', 'Prime Taxi', 'Yellow-Top Taxi']",Disagree,Disagree,Neutral,Agree,After 12am ,['Too costly'],ComfortDelgro,Yellow-Top Taxi,None,['When it is more convenient'],['Grab'],"['Grab', 'Gojek', 'Ryde', 'Comfort DelGro', 'Tada Mobility', 'Others']",['When it is quite late at nigh'],Neutral,Agree,Agree,,['Too costly'],1,Grab,Others,No,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'Grabcar Rental']",,< $3,['Free-floating'],['Convenience'],7,['Costly'],2,['Taxi'],['Taxi'],Somewhat satisfied,Somewhat satisfied,Neutral,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,,,[''],1,1
31,18 - 21,Female,"$501 - $1,000",Yes,SMU,Central,Kallang / Whampao,Full-time Student,,"['MRT', 'Bus', 'Ride-hailing services']",3 - 4 days a week,"['Ride-hailing services', 'Car rentals', 'Bus\xa0', 'MRT', 'Taxi', 'Others: Cycle, Walk, Drive']",Taxi is expensive and I don’t cycle,If I really need to,"['Travel Time', 'Price', 'Waiting Time', 'Comfort', 'Reliability', 'Safety', 'Physical Accessibility', 'Customer Service', 'Service Information']",$50-$100,7,9,5,3,Ride-hailing services,"Others: Cycle, Walk, Drive",Travel Time,Service Information,2-4 times a week,Less than 10 minutes,"['When travelling to the nearby MRT Stations', 'Directly to work/school', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Agree,Strongly Agree,Strongly Agree,"['Long waiting time', 'Long travel time', 'Bulky items']",No,,< $100,One day per week,15-30 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['Downtown Line (Blue Line)', 'North-East Line (Purple Line)', 'North-South Line (Red Line)']",Agree,Agree,Agree,"Strongly Agree
","['Long wait time', 'Long travel time', 'Too crowded']",3,Once a week,5-10 mins,['Online/In-app'],"['When it is more accessible', 'When I need the comfort of privacy', 'When it is more convenient', 'When there is a promotion']","['ComfortDelgro', 'Trans-Cab', 'Premier Taxi', 'CityCab', 'SMRT Taxi', 'Prime Taxi', 'Yellow-Top Taxi']",Disagree,Agree,Agree,Agree,,['Too costly'],ComfortDelgro,Yellow-Top Taxi,Once a week,"['When it is more accessible', 'When I need the comfort of privacy', 'When it is more convenient', 'When it is easy to book', 'When there is a promotion']","['Grab', 'Gojek', 'ComfortDelGro']","['Grab', 'Comfort DelGro', 'Gojek', 'Ryde', 'Tada Mobility', 'Others']",[''],Disagree,Agree,Agree,,"['Long wait time', 'Too costly', 'Poor driving', 'Poor customer service']",3,Grab,Others,No,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'GetGO', 'LionCity Rental', 'Grabcar Rental']",,$7.01 - $10,['Free-floating'],"['Convenience', 'Cost']",6,"['Inconvenient Pickup Locations', 'Costly', 'Safety of Car Maintenance', 'Insurance Coverage', 'Type of rental car provided']",4,['Taxi'],['Taxi'],Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,I enjoy using Zig,More promotions,"['More locations to rent from', 'Competitive prices', 'Promotion codes']",1,1
32,18 - 21,Female,"$501 - $1,000",Yes,TP,West,Jurong West,Full-time Student,,"['Bus', 'MRT']",Daily,"['MRT', 'Bus\xa0', 'Ride-hailing services', 'Taxi', 'Others: Cycle, Walk, Drive', 'Car rentals']","Cycling is impractical, don’t like the idea of getting sweaty during my commute. Car rentals bcos no license yet",Once I get my license; cycling if the distance is short,"['Travel Time', 'Price', 'Service Information', 'Physical Accessibility', 'Reliability', 'Comfort', 'Waiting Time', 'Customer Service', 'Safety']",Less than $50,10,7,7,2,MRT,Car rentals,Travel Time,Safety,2-4 times a week,Less than 10 minutes,['When travelling to the nearby MRT Stations'],Strongly Agree,Strongly Agree,Agree,['Long travel time'],No,,$101 - $120,5-6 days per week,30-45 mins,['To get to work/school'],"['East-West Line (Green Line)', 'North-South Line (Red Line)', 'Downtown Line (Blue Line)']","Strongly Agree
","Strongly Agree
",Agree,Neutral,"['Long wait time', 'Too crowded']",3,Never,Less than 5 mins,['Online/In-app'],"['When there is a promotion', 'Running late']","['ComfortDelgro', 'Premier Taxi', 'Yellow-Top Taxi', 'CityCab', 'Prime Taxi', 'SMRT Taxi', 'Trans-Cab']",Disagree,Agree,Agree,Agree,Peak hour hard to find taxi,"['Too costly', 'Long waiting time']",ComfortDelgro,Trans-Cab,None,"['When it is easy to book', 'When there is a promotion', 'When it is more accessible', 'When I need the comfort of privacy', 'Running late ']","['Grab', 'Gojek', 'ComfortDelGro', 'Tada Mobility']","['Grab', 'Tada Mobility', 'Gojek', 'Comfort DelGro', 'Ryde', 'Others']",['Tada is priced most competitively but grab allows me to gain points'],Disagree,Neutral,Agree,,['Too costly'],4,Grab,Others,No,No,[''],[''],,,[''],,,,,,,['BlueSG'],,$3.01 - $5,['Station-based'],"['Cost', 'Convenience', 'Reliability']",6,"['Costly', 'Type of rental car provided']",1,['Taxi'],['Taxi'],Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Neutral,Somewhat satisfied,Neutral,Somewhat satisfied,Rather hail down a taxi,Rewards system,"['More locations to rent from', 'Competitive prices', 'Promotion codes', 'Giveaways and contests']",1,1
33,22 - 25,Female,Prefer not to say,Yes,SMU,Central,Toa Payoh,Full-time Student,,"['MRT', 'Bus', 'Ride-hailing services']",3 - 4 days a week,"['Others: Cycle, Walk, Drive', 'Ride-hailing services', 'Taxi', 'MRT', 'Bus\xa0', 'Car rentals']","Car rentals are expensive, and it is very troublesome if lets say we get into accidents with the rental cars. Some rental companies are also rather shady, and may try to undercut us by saying for example, this scratch was not here before etc.
Bus - is rather slow, prone to traffic jam and irregular schedules.","Would take the bus if it is more convenient than the MRT - example, the bus stops are closer to my destination than the MRT station.
Car rentals - perhaps for really special occasions such as a friend's wedding etc.","['Price', 'Travel Time', 'Waiting Time', 'Comfort', 'Safety', 'Physical Accessibility', 'Reliability', 'Customer Service', 'Service Information']",$50-$100,8,8,7,3,"Others: Cycle, Walk, Drive",Car rentals,Price,Service Information,2-4 times a week,Less than 10 minutes,['When travelling to the nearby MRT Stations'],Agree,Agree,Agree,"['Long waiting time', 'Long travel time', 'Bulky items']",No,,I don't know,3-4 days per week,15-30 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['North-South Line (Red Line)', 'North-East Line (Purple Line)', 'Circle Line (Orange/Yellow Line)']",Agree,Agree,Agree,Agree,"['Bulky items', 'Too crowded']",3,Once a week,5-10 mins,['Online/In-app'],"['When there is a promotion', 'When im in a rush']","['ComfortDelgro', 'CityCab', 'Premier Taxi', 'Yellow-Top Taxi', 'Prime Taxi', 'SMRT Taxi', 'Trans-Cab']",Disagree,Neutral,Disagree,Disagree,"Yes. Especially in late at night, or early in the morning, there are usually no cabs around my area. ","['Long waiting time', 'Too costly']",ComfortDelgro,Trans-Cab,Once a week,"['When there is a promotion', 'When im in a rush']","['Grab', 'Gojek']","['Grab', 'Gojek', 'Comfort DelGro', 'Ryde', 'Tada Mobility', 'Others']",['Easier to get rides and I know the fare before even entering the cab'],Neutral,Disagree,Disagree,"Same as with cabs, it is often difficult to find cars in the wee hours of the morning.","['Long wait time', 'Too costly']",2,Grab,Others,Yes,No,[''],[''],,,[''],,,,,,,['BlueSG'],Ecofriendly,$7.01 - $10,['Station-based'],"['Convenience', 'Reliability']",7,"['Safety of Car Maintenance', 'Insurance Coverage', 'Costly']",1,['Taxi'],['Taxi'],Somewhat satisfied,Neutral,Neutral,Somewhat satisfied,Very satisfied,Neutral,Somewhat satisfied,Local and reliable,i dont know,['Competitive prices'],1,1
