year_of_survey,verbatim:_reasons_for_their_satisfaction_ratingss,verbatim:_suggested_areas_of_improvement
2020,I’m satisfied with the overall,Less train faults
2020,Fair and obedient service,
2020,Assurance that there will not be cancellation of ride.,
2020,"It's really slow and there's a lot of overcrowding at bishan, orchard, somerset, DG and onwards till Marina Bay","toilet cleanliness, the overcrowding at certain stations"
2020,Room for improvement,Prices
2020,The taxi drivers are just doing driving and very little interaction.,Similing
2020,"I had  been travelling in other countries,we are more effective in MTT maintaince,Security, staff work attitude and cleaniness.Our government always pay attention to the feedback or needs from the passengers and has a long term plans to meet the excellenc","Can conduct some orientation courses to the grassroots leaders or students to have better understanding of MRT background information, operation and maintaince  system and long term plans for best services and gather feedback through dialoge  sessions."
2020,Good service,Nathing
2020,"Train delays, poor frequency and really packed trains",Increase frequency in peak times and better maintenance for older trains
2020,Waiting time,No
2020,Have met my expectation,Driving must be smooth and not jerky.
2020,Good,Fast
2020,So far they are ok,More trains during peak hrs toacoid crowds
2020,Trust in Gojek.,Giving points reward to customers.
2020,Good service,No
2020,smooth and short waiting time between trains,more train rides during peak hours especially 9am
2020,Very good behavior,I think that's okay
2020,Because they are good but need to improve alot,Their passengers entertainment
2020,It is very easy to operate,Nothing for now
2020,it has new train and the interior is nice.there are less people in that station and the aircon is very cooling.i love the ride and I think it is the best train station at tampines and the best line.,if there are more shops at train station
2020,They deserve it,Drivers
2020,It has help make travelling much more convenient for me,nothing much actually
2020,"It's very close to my daily life as it's the only mrt near my house, so I very much depend on the North East line",More seats on the train if possible
2020,"The time of arrival shown is not accurate, often differ by 3 to 10 minutes.    I feel that they should work on increasing frequency of buses even during non-peak hours.",Frequency of buses. Lower fares.
2020,So far so good.,Not being complacent.
2020,Superb accurate service,None
2020,i think it a good train and mostly i use it,they should improve the neatness of the train
2020,I gave Silver Cab good ratings because it is easy to get the taxi when I am flagging them down from the road. I found that the Silver Cab taxi drivers have strong knowledge of the routes.,I think Silver Cab could add an air purifier in their taxis in order to make the environment much cleaner.
2020,"They are generally okay, but no one is perfect so they definitely can do more as a company for their drivers since they are charging so much rental fees. Happier drivers gives happier rides",Reduce peak hour and midnight surcharges
2020,no comment,no comment
2020,"6, there are some taxi drivers always want to cheat money and drive the longer distance to reach my destination, I don't think this is correct, the riders take taxi because they want the shortest and fastest way to reach their destination but you didn't,","Cleanliness and driver's attitude. They always not happy when I only ride for short distance but why can't I take taxi from shopping mall to home? I carry many things and couldn't take bus, so I chose to take taxi, and have to take this kind of attitude?"
2020,Convenience.,Crowded.
2020,Good prices,More promotions
2020,i have not had any problems with Comfort Taxis. The drivers have been very helpful especially towards my 80 year old. Waiting for a to get in and out of the taxis. Helping her because she has leg problems. the drivers also comes out from their taxis to he,The Fares can be a little less.
2020,no comment,speed
2020,stable,more ride
2020,just satisfied with the service but not fantastic. Transport fee on the high side. long journey to travel from Bukit Panjang to Tampines. Tiring to exit and walk to avoid the  loop  between Rochor and Jalan Besar station which will require about extra 20m,shorten travelling time and lower fare
2020,more flexibly,Price
2020,"I think it's not very good, but it's full of me.",Number of cars
2020,Because of the good service,Reduce customer waiting time
2020,Because I got help getting on the bus,It is hoped that a detachable pedal can be installed
2020,Promo code,Price
2020,Well done. It's worth riding,It can make the operators start faster
2020,clean  comfortbale,crowd
2020,Because of the good service,It can be faster
2020,Theyre good,Anything theyre lacking
2020,It can be faster,It can be faster
2020,Ease of booking,Smell in car
2020,Nice service,No
2020,Good service,Nice driver
2020,"Sometimes it is unpredictable, it can be smooth and pleasant, but there are times where you might wait pretty long for just a single bus to arrive and other times the bus may be going too fast for the safety of the elderly.","Maybe if they have communication among themselves, they wouldn't need to rush to reach bus stops and rush off to the next, or have several bus stops waiting for just one bus service."
2020,theey are nice,non
2020,it has caused no major issues so fsr,the comfort of seats
2020,The service is considerate and worth riding,"Come on, hurry up. Don't make the customer wait"
2020,The service is considerate and worth riding,"Come on, hurry up. Don't make the customer wait"
2020,Good service,You can stop for a longer time
2020,"It's safe, fast and great",It would be better if the order could be better. The order is not good during rush hours
2020,The driver's attitude was very good. He was worried that I would be bored all the way. He kept chatting with me,It's crowded and there are not enough cars. If you can wait a little shorter
2020,I think the service is good,I think we can come faster
2020,Very affordable,Nothing to improve
2020,I think the driver's attitude is excellent. I really like it,It's just that the waiting time is a little longer. It will be better if we hurry up
2020,I think that the govement is handling the train services very seriously,N/A
2020,Its the standard of customer service the provide,Taxi fare
2020,I think the service is good,I think it can be faster
2020,IT NICE,IT CAN
2020,The ride experience was very good,"Waiting time is too long, some can not catch up with the time"
2020,based on my feeling,improve all
2020,It's good to be at the right time and get the right service,The air conditioner is not cool or not on
2020,Super flexible and friendly. This ride was great,Environmental problems need to be improved
2020,bus captain is very polite and friendly,
2020,The bus is punctual and the driver is professional and polite.,The car is a little long. Can you update it
2020,"Great driver, excellent service",I didn't arrive on time. I hope I can be on time next time
2020,The driver is very conscientious and helpful,The TV monitor couldn't work completely and the interior decoration was peeling off
2020,Customer service to be improved,Staff service quality
2020,Longer waiting time,More frequency   Reduce fare
2020,It was clean and the train was in time for my commute,"The service attitude is better, and the arrival time is on time"
2020,I have been using East West Line for so long. So I probably have experienced so much while traveling with the line.,They can improve on how elderly ones especially those above 60 years of age are attended to.
2020,Because I think the driver is very polite.,You can improve the hygiene on the car
2020,It is a very good mrt line,Not much. It ssutis my need already.
2020,Very dishonest,The waiting time
2020,Because it's clean and sanitary.,I think the pilot needs to change his temper
2020,Because the prices are very reasonable,We need to slow down a bit because there are elderly people on the bus who can't sit still and some of them are still standing  '
2020,"The price is very reasonable, the driver is friendly, professional and timely",The seats are not comfortable enough
2020,"I think the comfort in the car is very good, the service attitude is also good",It would be better if we could switch to new energy vehicles
2020,"Overall, the comfort in the car is very good",I hope the waiting time can be shorter
2020,The ride left a good impression and the seats were comfortable,"This is a worrying problem. Due to the traffic congestion, the driving speed is very slow. However, it is necessary to provide carsickness assistance for the elderly in advance"
2020,Satisfied no complains,frequency of rides
2020,Because it's a safe ride.,You can improve the hygiene on the car.
2020,In comparison with the red line,Assistance with persons using baby strollers esp during peak hours
2020,"The train has a relatively stable speed, so people can sit at ease",The temperature in the car needs to be lowered a little bit
2020,"This is a good ride experience, getting on the bus in good order and comfortable seats.","If the time to arrive at the destination is accurate, the overall bus service will be more standardized and professional"
2020,"The city needs such fast traffic, not only how fast the stations are but also very safe.",I think more staff are needed to manage the order at any time.
2020,They are a very kind and offering person,
2020,No problems traveling thus far,Higher train frequency
2020,"Given that now no of passengers have dropped during the covid 19 situation. Trains have become less crowded, therefore become more comfortable for me to ride on train. However, notice train stations along east-west line is old. Therefore, train operator s",facilities
2020,The environment in the car is very good and the attitude of the driver is very good.,"You can slow down a little bit. There are children and elderly people on the bus, and there may be pregnant women, so drive slowly"
2020,"I am very dissatisfied. First of all, ordering by phone is too much trouble, and then the smell in the car is too bad!","More cars, don't let customers wait too long, need professional service."
2020,"First, very comfortable, then, very safe, and finally, I feel fast!","I hope to have a bathroom, which is more convenient."
2020,"Speaking of this, I am angry. I am very dissatisfied with the method of buying tickets, and my card often has problems.",I hope to make all the riding procedures as scientific as possible to make passengers more convenient.
2020,the waiting time and travelling time between each stop is way too long,travelling timr
2020,Friendly staff and great service,None
2020,I think this kind of transportation is very convenient,I personally don't think the seats in the car are comfortable enough
2020,"A very convenient management system, taxi travel is very convenient.",Can improve the car's safety situation
2020,I think the driver has a good sense of direction,I think the cleanliness of the car needs to be improved a little bit
2020,comfortable value for money,notjing
2020,"First of all, the waiting time is short and the service for the elderly is very satisfactory.","Hope to reduce the noise of the car, people feel uncomfortable."
2020,good service,adaptability
2020,No waiting time,Owsam
2020,"Because the environment on the bus is good, the driver is very polite.",We can improve the speed. It's too fast
2020,"Because the driver is very steady, speed is very uniform",Improve the sanitation of your car
2020,Simple process,Reduce the booking fee
2020,"Better safety / road knowledge, less polite, standard car quality","More polite drivers, more comfortable rides, no surcharges"
2020,it is good.,frequency and crowd
2020,"Because the driver drive skill and hello, drive very steady","To improve the environment on the car,"
2020,Because the sanitation is very good,You can improve the seats on the car. There are too many.
2020,good,nothing
2020,Lots of convenience,Slightly faster
2020,They deserve the ratings as they have exceed my expectations,Nothing much its quite good already
2020,Nice  service,No
2020,I was told a few times i was not wearingmy mask propeely,Increase size of seats
2020,It has very good service.,Cleanliness
2020,Good and nice,Need more discount
2020,"Price is reasonable and usually cheapest, Drivers might not be responsive when they want to cancel the ride","Quality of Drivers can be improved, and waiting times"
2020,Nice price venue,Nathing
2020,"It's unique, fast and reliable",They are good and they should improve on their price
2020,I never had a bad experience yet,The amount of trains coming in the afternoon
2020,It does a very good job in reliablilty and it also serves an ideal bus route.,The route that saves time.
2020,non,ds
2020,"the frequency is very low and it is due to profit margins in mind by operator, it is not serving the needs of citizens",frequency
2020,Very supportive.,Nathing
2020,very good and frequently come on time,maintain bus captain's patience and more hellos to the riders
2020,Nope,Its good
2020,"good thing is metered fare, wont be charged unfairly or due to high demand. but drivers are tentatively older, more rude and drive very slowly compared to grab drivers",drivers to be more courteous and the smell of vehicle to improve
2020,Comfortable rides. Nothing fancy But also nothing bad. Singapore small so drivers very familiar with roads. No complaints,
2020,i have no problem getting a taxis,none
2020,I think NEL’s service/quality is slightly above average when it’s being compared to other train lines.,Train fares
2020,No specific reasons,N. A.
2020,"The facilities inside are clean and tidy, and the management is very orderly and standard.","If it is improved, I hope that the elderly, weak children and pregnant women can be taken care of."
2020,"Overall experience has been satisfactory. Good alternative to travel between town and cck interchange, good coverage of bus route but may affect the travelling time of the whole journey with too many stops. The aircon are too strong sometimes to the exten",Aircon / Vehicle upgrade.
2020,The best among all the train lines,Train fares
2020,"I was very angry and often reserved their car. In the end, because of my short trip, my order was cancelled, or I just came on time.",I hope there are regular companies or countries to manage and rectify their rules.
2020,"Very good prone, I usually recommend it to everyone, the driver is enthusiastic, and the driving is very safe and stable.","If it changes, I hope there are more female drivers."
2020,"Not so often using mrt, so far so issue. Senior discount fare is good",Good maintenance of the trains to prevent breakdowns
2020,Can be better,The seat more
2020,still have room for improvement,frequency of train during off peak
2020,"The route has not changed during this Covid-19 period. Ease of boarding remains the same, except when we have to practice social distancing - I became quite weary about the crowd, and hence it made travelling less comfortable.",NA. They always waited for me when they see me running for the bus :)
2020,Good praice,No
2020,Quick response,Give more offers
2020,Quality service,No option for now
2020,Good,Timelines
2020,Fast to reach my destination,Making it faster
2020,nice,nice
2020,unreliable,"frequency in between, accuracy of train arrival time"
2020,Escalators are always being repaired,Idk
2020,Because it will spoil in the peak hours,The maintenance
2020,nice and very good,nice
2020,Awesome qualities,Humanitarian service
2020,yes,no comment
2020,still not as good as other countries such as Hong Kong and Japan,"amenities within station,   less crowded trains"
2020,"Warm, slow, crowded. At times, a burning smell",In terms of temperature
2020,This is how I feel,Yes. Higher frequency of trains
2020,"The main thing is safety, the safest mode of transportation, and other accidents often happen.","The service needs to be done well, not enough."
2020,Just feel it' s good for now,Less breakdown
2020,"On call, convenient and saves time.",Hope to have more vehicles and set up some waiting stations.
2020,im answering questions on behalf of my dad who has a short temper waiting for taxis so like :],"reduce waiting time pls,, my dad damn annoying when he gwts impatient"
2020,Good,To reduce hard acceleration and braking
2020,This is a very convenient means of transportation,I think the waiting time is a little long. It can be shortened a little
2020,"The driver's road is very comprehensive, very good",The sanitary environment in the car is not very clean
2020,It's a very convenient way to travel,The driver's driving is not smooth enough and needs to be improved
2020,I think the service attitude of the driver is very good,I think the indoor environment is very important and needs to be improved in this respect
2020,North East Line is clean and coffees train to ride,Nothing to say
2020,"For special groups to provide quality services, respect for the elderly",I think order needs to be maintained
2020,He was ok in doing his job,Nothing I can think of at the moment
2020,aircon cool,price
2020,Very satisfied,Frequency
2020,"You can pick up passengers directly at home, which is very convenient, saves time, is fast, and is indispensable for emergency traffic.","I think it allows me to choose the driver directly through the program, or the evaluation of the driver can be evaluated through the platform."
2020,It was fast and easy to use,Price
2020,"The driver was really very dedicated. Last time I lost my belongings in the car, the driver found me and sent it to my hand, which delayed him a lot of time. I am very touched.",I hope they can get more standardized company management and build a better online service platform.
2020,It is convenient for me to go where I want to go,The seats
2020,"I hope I can choose a vehicle. Many families travel, and the location is not enough. Whether the taxi provides more vehicles with more seats.","The service is very good, mainly I just hope that there is a platform to choose vehicles."
2020,"The cleanliness, timely arriving and departing and arriving of train, the facility available I station.overall management.","More seating arrangements. More considerate to elderly, pregnant and disabled passengers."
2020,"Polite, fast and stable",Smile at customers
2020,It's overall a good service,On train timings
2020,It is the most efficient app to use where the fares are reasonable and the drivers are fast,
2020,"It's not the best, but it's cheap.",Waiting times
2020,no,drive slower
2020,Grab integrates other services and has a pool of drivers in singapore. Also available in other countries when travelling. So far no complaint. App is good to use.,Pricing and rewards. Educate drivers how much they should or should not sanitise in times of Covid. some perfume and sanitiser cause me migraine.
2020,Good and well taken care of.,More train and more stuff.
2020,Good freq and good quality of buses,Temp control . Too cold sometimes
2020,"So far so good, did not experience any issues with the drivers",Reduce the fares
2020,"It was good. When I took grab, it came 10 minutes later then expected.",Maybe say hello?
2020,It took a lot of time for the driver to get to my location.,The speed of the car.
2020,No comments,No comments
2020,E Break  freqyebtly,Driving skill
2020,Good service,
2020,"nothing is perfect. somtimes it's operating well, but other times it just breaks down and it's frustratinf",the no of times it breaks down
2020,Truthful experience,
2020,it has good service overall,uhm idk
2020,very good,nice sia
2020,I think they often do not wait for passengers running up the hill to board it,Stop and wait at the bus stop on the hill longer
2020,I have no issues with this company,Reduce taxi fares for passengers
2020,The service attitude of the driver was very good and very polite,You can improve the comfort of the seats
2020,they were comfortable and reasonable,having more taxis so shorter waiting time
2020,"Timings are inaccurate at time and trains is not as frequent as other lines. However, overall experience is ok",Train frequency especially during peak hours at jurong
2020,i hope 120 can come faster,please let 120 come faster
2020,It is very good and I am satisfied,smooth rides
2020,Least breakdowns and problems occuring out of the rest of the stations,Quality of seats
2020,No reason,Let people reach the seats on the upper deck before driving off like an F1 racer
2020,I have been travel frequently and have not facing any issue laterly,Not that I know of currently
2020,Quite decent in travelling experience. I've lived in Sydney before and the train frequency is poor there compared to what we get here in Singapore,Easing of crowds
2020,Very efficient service,The last train timings can be rather early
2020,Travelling on a Grab car is very safe and it is a comfortable ride as well to my destination. The waiting time is fairly short compared to other cars as well so I am very satisfied with Grab.,I believe Grab can improve on the cleanliness of each vehicle so each customer would have a comfortable time in the car.
2020,It’s a very efficient service and good levels of hygiene and standards are maintained,Perhaps distance between different lines at interchanges
2020,quick trains,nothing!
2020,The downtown line makes it easy to go to places such as the town area and the amenities are all very clean compared to other lines. There are also many seats on the platform and train the frequency of trains are high,They can make the screen that shows the train timings more accurate
2020,It's reliable and on time. But sometimes the ride can be very packed with people and the drivers may drive very fast due to schedule to catch.,Smoothness of Journey
2020,very good service,reduce fare
2020,"Reliability, Convenience and enhancement with travel accessibility",Operating time could be extended
2020,"The UI is not as good as grab. Grab does show pick up location and destination in the receipt. Which is useful for record purpose. Comfort taxi apps does not show estimated reaching time in the application but Grab did, and the estimate is quite accurate.","Improve App UI/UD. Customers always look for cheaper fares, and if the fares are competitive, will go for better UI/UD as the second. Grab reward points are easy to earn and redeemed. But I don’t see that is clear enough on how to redeem the comfort rew"
2020,My personal experience with HDT Taxi,Waiting time
2020,No comment,"Higher frequency without increasing fare, or lower fare"
2020,It is still one of the best available train system in the world,comforbility
2020,The train frequency is high,NA
2020,5 stars,Price
2020,"So far been taking very long time, no issues at all. Very satisfied with this bus 105. Highly commendable ...","No, they are very good & polite & helpful"
2020,good enough,frequency of trainns to minimise crowds
2020,1 Drivers are friendly.  2Drivers know the way.  3Easy to get a taxi.  4Fare is reasonable.  5 Taxi is clean,So far so good. No need to improve.
2020,"Timing, efficiency, comfort and dependability is great.",
2020,Not that comfortable but it is public service which is relatively better compared to other countries’ train system.,The cleanliness / hygiene. More frequent to reduce crowd especially during peak hours. Smell is not so good. Ventilation not so good either.
2020,"Usually my commuting is simple, easy and hassle free so I have nothing to complain",The announcements during delay and train disruptions
2020,they meet my expectations,delivery time
2020,it's satisfactory,routine time
2020,Did not face any issues riding DTL so far. Convenient to get to town,None
2020,It is moving in right direction,Maybe bigger buses for better comfort
2020,Still can improve,"accuracy of arrival timing, more frequent, cleanness"
2020,"Expectations and standards have been lowered since the frequent disruptions. Giving the feeling that as long as there's no disruption, the trains are functioning well enough.","Crowd control. Despite the frequency, the trains are just too crowded during peak hours."
2020,"I think there is less waiting time, and no matter how close we are to the destination, they will accept our orders. Many drivers on other platforms, as long as they see that the distance is too short, the fare is too low. Will cancel our order, which is v","I hope there is a better platform for passengers to communicate, it would be better if they could choose the driver of the vehicle themselves."
2020,It is a very convenient and fast means of transportation,The road traffic knowledge of drivers needs to be strengthened
2020,Because the company's cars are very punctual,The attitude of the driver needs a change
2020,"The driver drives steadily, the speed is very uniform, the driving is orderly and polite","For the health of the bus, there is still a need to put up a notice to give pregnant women and the elderly a seat. The old people can't stand for long, and they are not stable. So are pregnant women"
2020,"The driver's courtesy is very good, the car is very steady, uniform speed",We need to keep the car clean
2020,The interior space is spacious enough and the seats are comfortable,Attention should be paid to the cleanliness of the interior environment
2020,"Fast and convenient, the driver service attitude is very good, I am very satisfied","The environment inside the car is not very good, the air is not very fresh, this is to improve"
2020,"Very convenient means of transportation, very fast",The seat space is very narrow and not comfortable enough
2020,"What matters is safety, which in my opinion is the safest traffic.",The staff still needs to be in the car to avoid conflicts or problems that cannot be resolved in the first place.
2020,I think it's a quick and convenient choice for me,I think we need to keep order
2020,"vIt's convenient to call, the price is favorable, and it's fast",Most of the vehicles are too old. It would be better if we could update the new cars
2020,It's great to book a car and the customer service is really good.,"The driver didn't map the route in advance, so he couldn't arrive at my place to pick me up on time"
2020,"With accurate road number, it makes people travel more convenient",You can adjust the distance between the seats properly
2020,"There are bus concessions, but also know how to help the elderly carry luggage, nice","The legroom is very small, so my legs are very narrow, which makes sitting in the car a little uncomfortable."
2020,Because the bus can arrive at the destination on time every time.,Let the driver improve his manners
2020,The indoor environment is clean and the temperature is suitable,"Personally, I don't think the service attitude is good enough"
2020,"Because the smooth degree of bus travel is very high, the ride is very safe, the company's fare is very reasonable.",Just improve the attitude of the driver
2020,"Because of the cleanliness of the interchange, such as the bus station, canteen and bus captain, it is very important  friendly","To improve the speed, you need to drive evenly and drive steadily"
2020,"The driver is very polite, the attitude and service are very good, and the driver's communication ability is very strong",Waiting time is too long. It would be better if it could be faster. This needs to be improved
2020,Downtown Line does not experience as much breakdowns as the other mrt lines. And they are always on time and the stops between one another are not too long.,
2020,"What I value most is the length of the waiting time. The number one service company will definitely cherish the time of the passengers, especially the time waiting for the car. This is the most anxious and impatient for customers. Their platform is very g","The sanitation in the car needs to be strengthened, and special air odors must not be present."
2020,"Their mobile car-hailing platform is very professional, very efficient, and the price is reasonable. They are all fair and unified.","Safety first, the speed is stable, do not grab orders, the most important thing is that the route is not crowded, choose the shortest route."
2020,The driver is very polite,The environment on the car is very clean
2020,"The loop site is the place I have to go in my life. The site is very convenient to set up, but what makes me very dissatisfied is that the service attitude is really bad.","Hope to strengthen management, change the management system, the service must be done well, after all, about life safety."
2020,"I am very angry! I was charged indiscriminately. The last time I took a taxi, I was charged indiscriminately.","The platform's charging system must be open, fair and just, and compulsory punishment for arbitrary price increases."
2020,Because I saw the environmental sanitation on the bus was very good,Ask the driver to correct his attitude and politeness
2020,"There are too many people. Every time I eat, it's crowded. There's garbage. The car is not clean.",Increase vehicles and improve congestion
2020,Overall no complain as the Downtown Line serves me well.,Nothing in particular at this point.
2020,"The best choice for commuting, the price is cheaper, but I am not satisfied with the driver's attitude, unfriendly to passengers, and the car's hygiene is not good, the smell is very large, and it is easy to make people dizzy.","I hope the driver has high quality and professionalism, and the air in the car should be fresh."
2020,Positive Experience,Fares :( transportation is getting more expensive and frequency of buses
2020,"They have a lot of cars, so the car will arrive soon after every appointment, and the driver is also very professional.",I hope that the next route can have multiple choices and solicit passengers' opinions.
2020,The driver drives smoothly without feeling carsick. The seat is very comfortable,"The service was very good, the order was quite chaotic"
2020,"Bearing in mind the pricing for the service, I believe this is fair.","Keeping prices affordable for everyone, especially lower income families. Increasing bus frequency to mitigate crowding concerns."
2020,"Overall, very good service",Waiting time is long. Be quick and steady
2020,The main reason is that the train frequency is relatively high,The environment is not very good. It can be improved a little
2020,Because I think the service attitude and courtesy of the driver are very good.,We need to improve the sanitation of the car.
2020,"Because I think the service attitude and courtesy of the driver are very good, and the car drives very steadily.",We need to improve the sanitation of the car.
2020,"Because the driver drives very steadily, the service attitude is also very good, and the courtesy is also very good.",Improve the sanitation of a car
2020,"Because the driver drives very steadily, the service attitude is also very good, and the courtesy is also very good.","Because I think the environmental hygiene on the car is very good, and the car is very stable"
2020,"Because I think the environmental hygiene on the car is very good, and the car is very stable","Improve the driver's attitude, politeness"
2020,"Because the driver drives very steadily, the service attitude is also very good, and the courtesy is also very good.",Improve the speed and balance of the car and the courtesy of the driver.
2020,"Affordable price, short waiting time. It suits me very well.",I think it would be better if the driver had a better smile.
2020,"Good service, good order, no signs of chaos",There are too few seats for the elderly on the bus. It would be great to add more seats for the elderly
2020,"Overall satisfaction with the services provided by GRAB. No hassles and good, polite, helpful, and professional drivers; also, fares and promos or discounts offered are attractive.","Can improve on their GPS tracking system as it is not always accurate, causing confusion for both, drivers and passengers!"
2020,"The temperature in the car, the comfort and the driver's familiarity with the route are all very good","The bathroom and interior environment can be better, which needs to be improved"
2020,The bus arrived at the destination at an accurate time. It was incredible,I hope the bus company can clean up the environment inside the car
2020,"The interior environment is very good, the seats are very comfortable",The driver didn't drive very smoothly and the road was bumpy
2020,I was really  excited  about  how my needs were met by Gojek  and I will continue  to patronize  them but likely  to change  if they change.,They should  improve  their waiting  time estimate  because  is seldom  accurate.
2020,Very convenient and more choice other than taxi which is more expensive,Waiting time
2020,The North-South Line never disappoints me providing the best service,the shops near the mrt
2020,generally satisfied,Frequencies of train and speed of train
2020,"Satisfactory service. Buses are in good condition as well. However, bus fares should not increase anymore. Do not need higher fares for better quality rides as well.",Some bus drivers do not have very good driving skills. To assess the drivers' driving.
2020,Convenient to use,
2020,Very smooth ride,cheaper fares
2020,The Drivers are great but the platform isn’t that great due to lack of support given to Drivers. Fare fluctuates drasticallyAt times ridicule. But the dohave a wide variety of services.,Employee support and customer loyalty
2020,It is generally well fone,Im not sure
2020,Satisfies my basic needs.,Politeness and being more helpful when questions asked.
2020,I think it has sufficiently catered to my travel needs.,Shorter waiting time for next train. Do not increase our transport fares anymore it’s getting expensive to travel around.
2020,Fares too high,Lower fares
2020,I have no complains as bus 56 has always been consistent with their services.,"Usage of technology, like showing the upcoming bus-stops in the buses."
2020,more could be done to unsure safe distancing within the bus such as blocking off certain seats,limiting the number of people on the bus to ensure there would not be overcrowding and have sufficient space inbetween people
2020,Too crowded.in the train most of the time.,More frequency of trains
2020,Long waiting time especially during peak hours,More availabilty especially during peak hours
2020,"As a consumer, I am generally happy with the services as it gets me to the location that I want to. The system is quite consistent; waiting time and pricing is okay.",
2020,It gets me to where i need to go fast and safe,Frequency of the trains to reduce the crowds
2020,"Reasonable waiting time, however some taxi still waiting for call and do not want to take flag down.",Reduce price and increase ease of flagging down taxi.
2020,Bus timings have not been accurate since covid 19,Update the bus timing as accurately as possible so that passengers can plan their journey more conveniently
2020,"Ease of obtaining a cab with the App, the comfortable and clean ride on most cabs, the friendliness of most 'uncles' :), the knowledge of routes and the nice chit chats :) on the way to work. Makes my day in most mornings.","Improve on the fares, can be quite steep during peak hours."
2020,,
2020,i think it is overall a great system,not for now
2020,It is innovative,I don't know
2020,"prompt, good frequency, clean trains and service is good from staff",
2020,"Cleanliness and timing of train arrival is good. However, the crowd especially during peak hours is insane",Crowd management
2020,"Most of the time, its very easy to get drivers but the price range sometime is too much when the weather is bad and the demand is high","Limit the price range to a reasonable one. For example if from West to East $50 at most is okay to spend on but if it's above than that, it's like daylight robbery"
2020,,
2020,Good,None
2020,They are quite good service and the fare is quite reasonable,The waiting time of the cab
2020,Things can be better for the elderly folks,More lifts and staff to provide service to elderly and disable people
2020,"Satisfactory service, but there’s always room for improvement","More Signages on exits at platforms, less frequent change of directions of escalators"
2020,I find that the service is acceptable but still has room for improvement,Frequency of trains during peak hours to avoid overcrowding
2020,The frequency and cleanliness are up to expectation.,improve on disinfectant works for common area within stations and trains
2020,It is very easy to move around.,"May be make more stations, the LRT from North east can improve. However, overall the experience is very good."
2020,NA,NA
2020,the North south line is generally reliable however there are a few stations that need higher upkeeping in terms of cleanliness and atmosphere.,Cleanliness
2020,Good frequency.,lower bus fare
2020,It is based on my experience??,More availability of trains
2020,"Am satisfied with the frequency of train rides, convenience & shorter travel time.",Nothing
2020,No reason,Nothing
2020,na,no comment
2020,App helped me a lot,Rates
2020,From the daily experience of travelling in thr morning and evening when its very crowded,train frequency in the morning
2020,Have a safe and peaceful journey,Nothing. Just Smile and be positive and keep it up
2020,"very clean, but sometimes is hard to have social distancing when having crowds around.",They can improve on controlling the crowds especially social distancing during this covid-19 situation.
2020,Appreciate them for working during this situation,Nothing
2020,very friendly staff,improve on cleanliness
2020,sometimes not wasily contactable for issues w driver,to be very easily contactable w the customer service officer
2020,So much room for improvement. Fares should not increase during these tumultuous times,No train faults. Disinfect and clean trains more often. Make it more comfortable
2020,Easy to book and safe,Drivers speak English.     I have came across few drivers who cannot speak English. 1 driver even told me he cannot speak English.
2020,Good service,Quality
2020,Price is more attractive than other especially compare to ComfortDelGro Taxi.,"More promotions. Shorter waiting time. Faster processing time for getting a car. Sometime wait for 10 minutes also there is no car and the app keep processing , response if even no available car."
2020,Everything is taken care of and nothing much to complain about.,I hope North-East Line can do something about passengers crowding in one area and refusing to move in further for other passengers to board the train.
2020,Unreliable at times,"Reliability, impose penalty on driver cancellation"
2020,not so good,timely and less breakdown
2020,It’s quite reliable . It maintain safety and cleanliness. Also arrive on time and frequency of train also good.,Spaces and moving comfortably inside the train. More seats
2020,no comment,
2020,good service,None
2020,To disinfect the common area in trains or stations more frequent,The frequency of the trains
2020,"Hopefully, they can maintain the quality",nothing much to improve as the condition of the bus is still good as new. and the captain is good well too!
2020,Could be better,Faster
2020,Still better than other lines,Maintain the standard
2020,"Its a simple bus service. Points off for safety because many of them speed over the humps in the area, causing some passengers to go airborne at times","Provide a service that links to more bus services within Pasir Ris, particularly those that go out of Pasir Ris, towards the airport, and towards Sengkang"
2020,"There was no problems during my rides, the overall journey was smooth, quick and nice. Other than the waiting times shown on the app were inaccurate sometimes, bus 15 was a pleasant experience",limiting the number of people entering the bus during busy times
2020,good,NA
2020,"waiting time is too long, ie. 20-25min!",drive faster. they are sometime crawling
2020,"Friendly drivers, smooth and safe driving, prompt timing.",
2020,the price is lower in comparison to other taxi apps,providing more taxis quicker
2020,"Overall the quality of service rendered is satisfactory, however it is my opinion that fares can either be kept the same or lowered. Bus fares keep increasing, and it is difficult for people like me who are not earning to keep paying increasing fares for","Perhaps increasing bus frequency so that boarding and  moving within the bus is easier. Buses are crowded, especially in the mornings and evenings when people travel to and from work, and in the afternoon when kids get off school. With the COVID-19 situat"
2020,It's good and fast!,Nothing!
2020,Crowded trains due to insufficient frequency,"Increase frequency, increase maintenance to reduce breakdown (train track faults etc)"
2020,Satisfied and on time,Nothing much
2020,Low price,Reduce price
2020,"Safe and smooth ride, with many payment options",Lower waiting time
2020,Improvement can still be made regarding controlling the crowd,Crowd control
2020,Service,Price
2020,"it is easy ,safe to travel",everything is perfect
2020,Expectation meet,Timing
2020,It is efficient,My seat
2020,"Overall, some hicupps may happen along the way during the trip.. Frequency, cleanliness, safety etc","timing and spacing, crowd management"
2020,Good service,Nothing much.
2020,its have much room for improvements..,"efficiency, safety and timing, entry gate scanning may slow down.."
